step,time,loss,lr
136,13.91328477859497,7.0042548179626465,3.0685124419213954e-05
137,13.999417543411255,6.921406269073486,3.067200265989534e-05
138,14.071178436279297,7.003668308258057,3.065873343621605e-05
139,14.166029453277588,6.868671417236328,3.0645316893286184e-05
140,14.234989881515503,6.955426216125488,3.06317531778269e-05
141,14.323952436447144,6.668893814086914,3.0618042438168835e-05
142,14.417295932769775,6.761199951171875,3.060418482425042e-05
143,14.50601840019226,6.7466654777526855,3.059018048761631e-05
144,14.589538097381592,6.747028827667236,3.0576029581415686e-05
145,14.681116580963135,6.576196670532227,3.05617322604006e-05
146,14.752734184265137,6.69813346862793,3.054728868092425e-05
147,14.84118127822876,6.68599796295166,3.053269900093931e-05
148,14.914680480957031,6.60029935836792,3.051796337999619e-05
149,15.021167039871216,6.669661998748779,3.0503081979241272e-05
150,15.158763408660889,6.738037586212158,3.0488054961415173e-05
151,15.25702953338623,6.633282661437988,3.0472882490850956e-05
152,15.341960191726685,6.491176128387451,3.0457564733472327e-05
153,15.419105291366577,6.579015731811523,3.0442101856791824e-05
154,15.493623495101929,6.688789367675781,3.042649402990899e-05
155,15.569591283798218,6.622417449951172,3.0410741423508517e-05
156,15.644114017486572,6.887882232666016,3.039484420985839e-05
157,15.72220492362976,6.500561237335205,3.037880256280799e-05
158,15.796509504318237,6.659382343292236,3.0362616657786187e-05
159,15.88220477104187,6.707745552062988,3.0346286671799465e-05
160,15.961705923080444,6.620234489440918,3.032981278342992e-05
161,16.039262056350708,6.5291547775268555,3.031319517283336e-05
162,16.124301195144653,6.619653224945068,3.029643402173731e-05
163,16.219390869140625,6.6699910163879395,3.027952951343904e-05
164,16.30634045600891,6.834173202514648,3.0262481832803534e-05
165,16.372263431549072,6.61665153503418,3.0245291166261507e-05
166,16.47477626800537,6.651669979095459,3.0227957701807327e-05
167,16.560880661010742,6.55646276473999,3.0210481628996986e-05
168,16.642000198364258,6.769392967224121,3.0192863138946016e-05
169,16.74286675453186,6.678788661956787,3.0175102424327403e-05
170,16.85702133178711,6.5355730056762695,3.0157199679369474e-05
171,16.94984722137451,6.512327671051025,3.013915509985378e-05
172,17.03856921195984,6.147092342376709,3.0120968883112957e-05
173,17.133963108062744,6.365896701812744,3.0102641228028548e-05
174,17.228930711746216,6.204607963562012,3.008417233502886e-05
175,17.31195044517517,6.418439865112305,3.0065562406086746e-05
176,17.388620853424072,6.380825996398926,3.0046811644717405e-05
177,17.48638606071472,6.32072639465332,3.0027920255976168e-05
178,17.62714123725891,6.451761722564697,3.000888844645622e-05
179,17.7739999294281,6.568890571594238,2.9989716424286395e-05
180,17.875455379486084,6.350334644317627,2.9970404399128848e-05
181,17.986201763153076,6.313169002532959,2.9950952582176797e-05
182,18.103481769561768,6.447073459625244,2.993136118615219e-05
183,18.23815107345581,6.341838359832764,2.99116304253034e-05
184,18.33923864364624,6.332124710083008,2.9891760515402867e-05
185,18.42021679878235,6.221869468688965,2.9871751673744738e-05
186,18.495367527008057,6.230776786804199,2.98516041191425e-05
187,18.598708868026733,6.221012115478516,2.9831318071926585e-05
188,18.6813747882843,6.495049953460693,2.9810893753941953e-05
189,18.755088329315186,6.420866012573242,2.9790331388545678e-05
190,18.852883100509644,6.302623271942139,2.976963120060449e-05
191,18.93943953514099,6.081701755523682,2.974879341649232e-05
192,19.00855541229248,6.4277849197387695,2.9727818264087854e-05
193,19.075307846069336,6.274936199188232,2.970670597277198e-05
194,19.150930166244507,6.2313151359558105,2.968545677342535e-05
195,19.23370623588562,6.085599899291992,2.966407089842579e-05
196,19.315364599227905,6.100253582000732,2.964254858164581e-05
197,19.396872758865356,6.242544174194336,2.962089005845002e-05
198,19.476876258850098,6.032923698425293,2.9599095565692552e-05
199,19.55778408050537,6.148039817810059,2.957716534171449e-05
200,19.639028787612915,6.207423210144043,2.9555099626341252e-05
201,19.901880979537964,6.33632755279541,2.9532898660879965e-05
202,19.984843015670776,6.594452857971191,2.951056268811683e-05
203,20.0602605342865,6.4943742752075195,2.948809195231447e-05
204,20.13774347305298,6.261226654052734,2.9465486699209248e-05
205,20.21904230117798,6.2053351402282715,2.9442747176008585e-05
206,20.33201265335083,6.1796159744262695,2.9419873631388278e-05
207,20.408047437667847,6.054109573364258,2.939686631548973e-05
208,20.4786593914032,6.279651165008545,2.9373725479917272e-05
209,20.57199740409851,6.275384426116943,2.9350451377735372e-05
210,20.652940273284912,6.27504825592041,2.9327044263465884e-05
211,20.733464002609253,6.28739070892334,2.9303504393085256e-05
212,20.80555748939514,6.0043792724609375,2.927983202402174e-05
213,20.892937183380127,6.311123371124268,2.9256027415152572e-05
214,20.97252655029297,5.894110679626465,2.9232090826801145e-05
215,21.06074023246765,5.913509845733643,2.9208022520734144e-05
216,21.13652491569519,5.951505661010742,2.9183822760158714e-05
217,21.214919567108154,6.152951240539551,2.9159491809719567e-05
218,21.29072141647339,6.484774589538574,2.9135029935496066e-05
219,21.361278295516968,6.200475692749023,2.9110437404999354e-05
220,21.440289735794067,6.072968006134033,2.9085714487169404e-05
221,21.519049644470215,6.140574932098389,2.906086145237209e-05
222,21.600786447525024,6.172616958618164,2.9035878572396206e-05
223,21.68457269668579,6.072731018066406,2.901076612045054e-05
224,21.768014192581177,5.798959732055664,2.898552437116083e-05
225,21.852615118026733,6.110119342803955,2.896015360056681e-05
226,21.93617582321167,6.00005578994751,2.8934654086119158e-05
227,22.01367211341858,6.27652645111084,2.8909026106676483e-05
228,22.08781623840332,6.006715774536133,2.8883269942502258e-05
229,22.16253638267517,5.9754838943481445,2.8857385875261772e-05
230,22.232550859451294,5.8969902992248535,2.8831374188019033e-05
231,22.30611252784729,5.9861226081848145,2.8805235165233687e-05
232,22.381417751312256,6.284048080444336,2.8778969092757902e-05
233,22.458160400390625,5.964781284332275,2.8752576257833235e-05
234,22.531681299209595,5.875614166259766,2.87260569490875e-05
235,22.61177134513855,5.961981773376465,2.8699411456531614e-05
236,22.69168734550476,5.8828325271606445,2.8672640071556408e-05
237,22.77686047554016,5.993668556213379,2.864574308692946e-05
238,22.85825228691101,5.972695350646973,2.861872079679189e-05
239,22.93706488609314,5.727104663848877,2.8591573496655124e-05
240,23.02661418914795,6.070436477661133,2.8564301483397698e-05
241,23.104368448257446,6.1165771484375,2.8536905055261973e-05
242,23.176004886627197,5.829009532928467,2.8509384511850902e-05
243,23.25951910018921,5.636168956756592,2.848174015412473e-05
244,23.33646535873413,5.739505767822266,2.845397228439773e-05
245,23.415715217590332,6.156630516052246,2.8426081206334878e-05
246,23.48951244354248,5.725885391235352,2.8398067224948537e-05
247,23.560338497161865,5.709565162658691,2.8369930646595112e-05
248,23.631364107131958,6.270181655883789,2.8341671778971723e-05
249,23.719736337661743,5.809406280517578,2.8313290931112807e-05
250,23.80125856399536,5.6810760498046875,2.8284788413386787e-05
251,23.873295545578003,5.879249572753906,2.8256164537492614e-05
252,23.963707447052002,6.24525260925293,2.8227419616456422e-05
253,24.037420988082886,6.3617095947265625,2.8198553964628052e-05
254,24.121421337127686,5.567453384399414,2.8169567897677652e-05
255,24.199350833892822,6.0811357498168945,2.814046173259221e-05
256,24.29009509086609,5.625364780426025,2.8111235787672074e-05
257,24.369877576828003,6.047956466674805,2.80818903825275e-05
258,24.443609476089478,6.206274509429932,2.8052425838075145e-05
259,24.515605211257935,5.614524841308594,2.8022842476534536e-05
260,24.588624000549316,6.175693511962891,2.799314062142458e-05
261,24.681178092956543,5.607497215270996,2.7963320597560004e-05
262,24.754106760025024,6.021646022796631,2.7933382731047814e-05
263,24.83909845352173,5.763315200805664,2.7903327349283717e-05
264,24.926604986190796,5.600186347961426,2.7873154780948562e-05
265,24.99945330619812,5.762505531311035,2.784286535600471e-05
266,25.073920726776123,5.638273239135742,2.7812459405692464e-05
267,25.156250953674316,5.542309761047363,2.7781937262526427e-05
268,25.233916997909546,5.638516902923584,2.775129926029187e-05
269,25.303065061569214,5.824955463409424,2.772054573404107e-05
270,25.387726068496704,5.6311936378479,2.7689677020089664e-05
271,25.491889238357544,6.141458511352539,2.7658693456012968e-05
272,25.57964515686035,5.695662975311279,2.7627595380642267e-05
273,25.654597759246826,5.5716023445129395,2.7596383134061134e-05
274,25.734084367752075,6.2254133224487305,2.75650570576017e-05
275,25.81259322166443,5.628565788269043,2.7533617493840916e-05
276,25.907480239868164,5.88546085357666,2.750206478659681e-05
277,25.99363923072815,5.853291988372803,2.747039928092474e-05
